,winner_age,winner_rank,loser_age,loser_rank,year,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,tourney_level_A,round_BR,round_ER,round_F,round_QF,round_R128,round_R16,round_R32,round_R64,round_RR,round_SF,winner_hand_L,winner_hand_R,winner_hand_U,loser_hand_L,loser_hand_R,loser_hand_U,tourney_name_Australian Open,tourney_name_Roland Garros,tourney_name_US Open,tourney_name_Wimbledon,tourney_name_sch,tourney_name_autre
10806,22.0479123888,70.0,27.7618069815,16.0,2002,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
21848,25.054072553,1.0,25.237508555799998,6.0,2006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
24192,27.2936344969,60.0,23.5345653662,111.0,2007,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
13272,25.067761806999997,14.0,28.7939767283,29.0,2003,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
45837,34.5188227242,547.0,28.802190280599998,84.0,2016,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
24234,28.4654346338,72.0,30.160164271,41.0,2007,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1510,24.758384668,13.0,29.0130047912,71.0,2010,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
50750,24.7310061602,8.0,25.6563997262,72.0,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
10649,27.430527036300006,14.0,26.376454483200003,140.0,2002,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
13023,32.8815879535,94.0,20.5968514716,50.0,2003,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
7537,23.394934976,21.0,22.466803559200002,36.0,2001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
51467,20.829568788499998,74.0,31.014373716599998,48.0,2018,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
10549,23.0280629706,67.0,32.1533196441,4.0,2002,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
24379,31.4743326489,51.0,27.370294319,89.0,2007,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1514,23.082819986300002,3.0,29.158110883000003,97.0,2010,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
48995,29.6728268309,103.0,27.3045859001,99.0,2017,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
18606,20.917180013699998,107.0,27.3812457221,20.0,2005,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
7980,24.34770705,1.0,22.1026694045,38.0,2001,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
24268,25.8453114305,23.0,22.2313483915,130.0,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
24684,19.6714579055,16.0,28.4052019165,60.0,2007,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
42532,32.6160164271,81.0,31.2963723477,68.0,2014,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
7730,23.9726214921,29.0,28.0301163587,47.0,2001,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
15980,33.0239561944,143.0,28.9637234771,87.0,2004,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
37512,27.6495550992,118.0,21.864476386,231.0,2012,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
18614,25.7303216975,32.0,29.0759753593,65.0,2005,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
49016,29.8918548939,21.0,30.0177960301,27.0,2017,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
54094,23.537303216999998,5.0,34.4120465435,24.0,2019,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
34098,24.0027378508,2.0,22.672142368200003,71.0,2011,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
41969,26.1902806297,23.0,24.4955509925,70.0,2014,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
2109,23.994524298400002,19.0,24.1998631075,38.0,2010,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
13196,30.0533880903,62.0,19.0855578371,305.0,2003,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
34956,29.9383983573,26.0,21.18275154,143.0,2011,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
